ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var,abs,dft,Solvent
10.76,8.62,7.76,7.13,8.5675,1.371885108,48,584.26132,-0.309559,145,-0.039141,0.270418,47,9.492,6.54,11.868,18.981,0.507662682,0.999841972,0.922357,3.630708,0.389512,33.762578,66.7673,3204.39507,2.0432,-29.98336,28.76624,1569.38461,801.26551,768.1191,0.00428702,0.02073675,-0.01287257,0.00025381,0.24702238,0.01709493,0.4595379,53.14,46.86,11.81422,19.80144,0.59206469,0.00495366,-41.68062,-13.70961,-1.1076271,0.061206,381,343.16,4.4
11.97,10.22,8.39,11.73,10.5775,1.430059002,40,280.32014,-0.237649,75,-0.000749,0.2369,38,7.166,4.213,11.471,12.354,0.440616306,0.861987162,0.488014,1.812967,0.169101,23.305747,5.3425,2328.50582,1.349,-33.30525,19.7465,1184.50242,683.62569,500.87673,-0.00276057,0.01116898,-0.02177243,0.00023446,0.18492575,0.0161933,0.42593261,57.89,42.11,10.52982,17.32998,0.50849053,0.00184585,-38.86229,-13.28977,-0.8154627,0.040014,485,452.81,4.4
12.18,11.83,10.51,12.38,11.725,0.728577381,28,264.32178,-0.271593,69,0.010806,0.282399,27,5.896,6.029,8.847,11.78,0.441926771,0.998982361,0.979874,3.309291,6.07929,26.889322,385.3423,1825.46005,1.6226,-41.11098,45.86872,899.93456,532.38757,367.54699,0.00345365,0.02986968,-0.03480967,0.00067133,0.2312681,0.03132143,0.86769613,24.87,75.13,10.74333,17.79562,0.51807494,0.00218955,-37.6134,-12.86615,-0.8846823,0.051146,384,332.45,4.2
14.29,12.48,10.36,11.27,12.1,1.471139015,29,223.22565,-0.282302,59,0.024071,0.306373,27,5.7,4.191,10.779,10.872,0.420710471,0.953684211,0.406117,1.791106,2.847411,24.279417,191.5073,1768.55249,1.4144,-44.93565,48.45067,913.66265,457.1742,456.48844,-0.00205696,0.01911935,-0.02326509,0.00046813,0.23452356,0.02123708,0.57662733,42.44,57.56,11.07324,18.2567,0.51529989,0.00200657,-38.32851,-13.28124,-0.8381423,0.041482,329,292.42,3.4
11.77,10.19,8.33,11.12,10.3525,1.295692382,46,308.37338,-0.238621,83,-0.000472,0.238149,36,7.175,6.05,13.042,13.055,0.406103213,0.909756098,0.866633,3.649824,0.731629,24.601168,28.8716,2625.37188,1.3162,-33.22531,20.08231,1301.87167,718.90355,582.96812,-0.00234642,0.01098822,-0.01879041,0.00026714,0.18059534,0.01487063,0.39407474,62.96,37.04,10.68992,17.32114,0.50760685,0.00148159,-38.83576,-13.29622,-0.8089194,0.03901,490,447.28,4.4
12.16,12.29,13.93,17.78,14.04,2.269173858,30,257.21878,-0.297993,67,-0.019339,0.278655,23,5.725,6.976,9.492,11.014,0.400771414,0.961921397,0.972812,4.442778,10.261325,18.661188,249.799,1863.98754,1.5463,-42.23183,45.53177,927.83939,596.59695,331.24245,0.00683983,0.02957251,-0.03410374,0.00062831,0.24994747,0.02952488,0.84872783,23.97,76.03,11.28863,19.34176,0.5283777,0.00219595,-41.6147,-13.74784,-0.9519106,0.063147,376,342.39,7.2
10.98,12.62,9.25,12.96,11.4525,1.475624868,22,225.17032,-0.291996,57,-0.025017,0.266979,20,5.695,4.213,9.16,10.855,0.448035331,0.953028973,0.379791,1.812445,5.936254,33.742459,128.9196,1583.15934,1.5938,-41.30384,51.93588,840.82996,517.22928,323.60068,0.00931936,0.03149415,-0.02612387,0.00050529,0.23712676,0.02779517,0.80075902,23.29,76.71,12.06466,19.64921,0.53374629,0.00391468,-42.20929,-13.61764,-0.9222141,0.046265,395,354.98,7.2
10.42,14.67,9.09,12.64,11.705,2.130428361,28,253.22356,-0.290188,65,-0.02805,0.262139,26,5.978,5.567,9.538,11.13,0.424242424,0.930913349,0.689755,3.124111,5.109942,33.359314,172.7037,1869.61176,1.5177,-40.28573,31.55904,930.18174,606.0327,324.14904,0.00804639,0.02596524,-0.02545488,0.0004562,0.19669176,0.02381972,0.70171054,28.97,71.03,12.29835,19.66406,0.52979913,0.00355701,-41.77674,-13.81315,-0.9010191,0.04499,398,369.32,7.2
10.3,13.84,9.07,12.52,11.4325,1.860287276,29,265.23429,-0.289077,68,-0.027334,0.261743,27,5.873,6.38,10.022,11.582,0.41387936,0.9860378,0.863242,3.978329,5.287808,32.78734,206.153,1924.14175,1.5447,-40.37516,32.17871,956.6084,635.33264,321.27576,0.00852852,0.02612716,-0.02627331,0.00042537,0.17065497,0.0237926,0.71229174,22.95,77.05,12.24296,19.65166,0.52714643,0.00374179,-42.06018,-14.8895,-0.9025069,0.04489,402,367.02,7.2
11.65,14.29,11.75,12.23,12.48,1.067754653,40,297.31084,-0.290121,79,-0.017057,0.273064,40,6.681,7.256,11.103,12.954,0.413693993,0.969465649,1.013222,4.695596,10.914377,16.635631,478.8244,2337.99271,1.425,-43.57957,42.12492,1149.52773,710.73402,438.79371,0.00476447,0.02698886,-0.03123337,0.00069941,0.23563127,0.02775548,0.77849202,31.25,68.75,9.77457,18.02388,0.51256521,0.00185643,-42.07259,-13.68887,-0.9010166,0.059162,364,345.58,7.2
