SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var,em,Solvent,dft,SampleName
05ANGEW_5_WB97XD_Chloroform,9.32,8.36,7.83,7.3,8.2025,0.746135879,42,484.24624,-0.297505,121,-0.052554,0.244952,42,8.385,5.781,11.86,16.745,0.486971442,0.998509243,0.824951,3.11088,0.222676,34.82981,62.0912,2792.54835,1.9432,-29.91328,28.33379,1378.94965,712.57963,666.37003,0.00455845,0.02230292,-0.0144165,0.0002554,0.24879642,0.01859008,0.50318881,47.4,52.6,11.69259,19.77001,0.58113717,0.00476213,-41.26846,-13.62928,-1.0695456,0.059302,583,4.4,421.4,05ANGEW_5_WB97XD_Chloroform
05ANGEW_6_WB97XD_Chloroform,9.2,8.35,7.8,7.06,8.1025,0.781676883,48,584.26132,-0.29742,145,-0.052601,0.244819,47,9.393,6.664,11.774,18.777,0.504554615,0.99952092,0.999755,3.993581,0.523392,34.546599,83.0038,3204.14432,2.0433,-29.8126,28.56905,1565.54407,786.35239,779.19168,0.0039539,0.02082259,-0.01306982,0.0002602,0.24508357,0.0171944,0.46161204,54.16,45.84,11.69061,19.80751,0.59168331,0.0050297,-41.70395,-13.62452,-1.1081096,0.06196,584,4.4,421.61,05ANGEW_6_WB97XD_Chloroform
05b1_WB97XD_Chloroform,11.31,9.84,8.27,10.73,10.0375,1.146938861,40,280.32014,-0.232441,75,-0.013463,0.218978,38,7.151,4.188,11.631,12.22,0.435821534,0.854425954,0.48763,1.787866,1.30E-05,21.999848,0.0216,2328.70273,1.3489,-33.2189,19.05662,1184.66361,674.06815,510.59546,-0.0026746,0.01101767,-0.0207506,0.00022578,0.17687773,0.01569755,0.41395603,59.19,40.81,10.47807,17.34034,0.50811507,0.00180436,-38.82623,-13.3086,-0.8152548,0.039822,599,4.4,553.8,05b1_WB97XD_Chloroform
05BMeS-p-A_WB97XD_THF,11.68,11.7,10.3,11.65,11.3325,0.596379703,28,264.32178,-0.251155,69,-0.007298,0.243857,27,5.642,5.535,8.894,11.27,0.438538465,0.998759305,1.081705,2.771435,7.363942,30.443585,362.3237,1830.41641,1.6182,-42.92884,47.47907,908.92129,526.59234,382.32895,0.0041096,0.03338725,-0.03621532,0.00063743,0.23554856,0.03397929,0.94088393,16.98,83.02,10.94532,18.09113,0.51620313,0.00239519,-37.34409,-12.80931,-0.8701375,0.050605,490,4.2,458.81,05BMeS-p-A_WB97XD_THF
05Bule1a_WB97XD_dichloromethane,13.82,12.36,10.66,10.81,11.9125,1.286766782,29,223.22565,-0.277867,59,0.009545,0.287412,21,5.709,4.191,10.789,10.821,0.419402349,0.947714136,0.405828,1.791211,2.488838,23.69841,192.3464,1772.64161,1.4111,-44.12727,47.31282,915.31254,463.98244,451.3301,-0.00181499,0.01842264,-0.02261996,0.00044204,0.23054253,0.02055187,0.55762362,43.63,56.37,11.02181,18.01764,0.5148752,0.00198837,-38.24884,-13.27715,-0.8366903,0.04125,386,3.4,335.19,05Bule1a_WB97XD_dichloromethane
05c1_WB97XD_Chloroform,11.24,9.81,8.2,10.47,9.93,1.119709784,46,308.37338,-0.230013,83,-0.012229,0.217784,20,6.805,6.735,12.741,12.841,0.397345051,0.943497428,0.961092,4.334875,0.000576,22.121818,0.0861,2613.52044,1.3222,-33.11158,19.22577,1284.31522,707.80857,576.50664,-0.00228849,0.01096542,-0.01856105,0.00024008,0.17632364,0.01473263,0.39116268,62.54,37.46,10.6409,17.34648,0.50886009,0.00151835,-38.85386,-13.34976,-0.8113901,0.038478,606,4.4,558.38,05c1_WB97XD_Chloroform
05CAJ-11_WB97XD_DMSO,12.72,12.12,26.59,15.95,16.845,5.811783289,30,257.21878,-0.289709,67,-0.058245,0.231464,29,5.897,5.503,9.425,11.528,0.435742365,0.977446159,0.757478,2.851337,10.36704,15.267751,244.0076,1869.64435,1.5417,-41.13467,45.19052,925.10828,562.52358,362.5847,0.00652903,0.03079873,-0.03112363,0.00061774,0.24987856,0.0298594,0.8415412,24.65,75.35,11.25956,19.35859,0.52822597,0.00224668,-41.23289,-13.33059,-0.9518468,0.057623,440,7.2,647.67,05CAJ-11_WB97XD_DMSO
05CAJ-13_WB97XD_DMSO,11.02,12.56,9.23,12.92,11.4325,1.458173086,22,225.17032,-0.286847,57,-0.036227,0.25062,20,5.666,4.19,8.894,10.925,0.455037694,0.96408401,0.379462,1.789681,5.665369,33.099544,124.8827,1586.3292,1.5906,-40.69894,49.7042,842.4276,522.20237,320.22523,0.00925419,0.0303746,-0.02518759,0.00048081,0.23338327,0.02672408,0.77288238,25.6,74.4,11.93381,19.61711,0.53300553,0.00398317,-42.10137,-13.56935,-0.9205972,0.045652,468,7.2,418.88,05CAJ-13_WB97XD_DMSO
05CAJ-14_WB97XD_DMSO,12.57,28.07,9.76,13.56,15.99,7.112323812,28,253.22356,-0.283346,65,-0.047846,0.235499,27,5.67,7.496,9.097,10.726,0.392620521,0.945855379,1.161968,4.573949,3.087541,32.245028,136.832,1892.43921,1.4994,-38.27867,32.93764,954.36919,648.83659,305.53261,0.00847835,0.02327667,-0.02294773,0.00047215,0.20555399,0.02080596,0.6305249,33.55,66.45,12.11186,19.68701,0.52850104,0.00367221,-42.4416,-13.78768,-0.8971061,0.04567,441,7.2,519.43,05CAJ-14_WB97XD_DMSO
05CAJ-15_WB97XD_DMSO,10.45,15.94,9.33,12.94,12.165,2.541146395,29,265.23429,-0.285033,68,-0.042869,0.242164,27,5.798,6.32,10.172,11.43,0.409354631,0.985684719,0.912842,3.948409,4.417491,32.442368,187.928,1929.05756,1.5407,-39.1252,32.1013,956.87357,643.19936,313.67422,0.00858794,0.02494913,-0.02496122,0.00042626,0.18226338,0.02246331,0.6790081,26.49,73.51,12.23506,19.6655,0.52686465,0.00370237,-41.02389,-14.94391,-0.8971347,0.042945,553,7.2,451.19,05CAJ-15_WB97XD_DMSO
05CAJ-16_WB97XD_DMSO,15.05,10.61,26.76,14.6,16.755,6.02934698,40,297.31084,-0.28208,79,-0.052136,0.229944,40,6.988,5.835,11.292,13.923,0.448405797,0.996207785,0.782382,3.369039,10.56372,20.246871,447.4952,2344.16004,1.4212,-43.69869,40.39912,1144.91925,679.51546,465.40379,0.00439558,0.02785401,-0.02985505,0.0005982,0.2359235,0.02806228,0.78008026,26.72,73.28,9.76863,17.97817,0.51214038,0.00194292,-42.10022,-13.69202,-0.902986,0.055573,439,7.2,692.13,05CAJ-16_WB97XD_DMSO
05CAJ-17_WB97XD_DMSO,16.39,10.87,27.59,14.76,17.4025,6.214231147,34,286.24177,-0.283904,75,-0.053222,0.230682,34,6.623,5.305,10.429,12.389,0.440529104,0.935301223,0.511763,2.2645,8.510506,34.498173,656.3024,2089.45901,1.5351,-42.49931,59.73928,1078.99028,600.56018,478.4301,0.00510162,0.03159626,-0.02815638,0.00073405,0.24327328,0.02973091,0.81827342,27.59,72.41,10.40392,17.97146,0.5188882,0.00267317,-42.04166,-13.79173,-0.9449912,0.058417,487,7.2,681.66,05CAJ-17_WB97XD_DMSO
05CAJ-18a_WB97XD_DMSO,11.02,12.47,9.23,12.69,11.3525,1.383227657,23,241.16973,-0.288681,61,-0.037049,0.251633,23,6.168,4.389,10.284,12.306,0.456132548,0.997568093,0.387677,1.983691,6.370474,32.20032,317.6074,1649.85674,1.638,-41.30487,60.46495,876.42375,508.40746,368.01629,0.00899455,0.03281349,-0.02391086,0.00066937,0.24511509,0.0282343,0.7911768,30.29,69.71,11.94207,19.6347,0.53483333,0.00432312,-42.10968,-13.79155,-0.9401904,0.045209,469,7.2,415.45,05CAJ-18a_WB97XD_DMSO
05CAJ-18b_WB97XD_DMSO,15.63,12.45,9.23,6.93,11.06,3.287202458,32,301.2665,-0.288052,77,-0.036695,0.251357,32,7.485,6.707,10.99,14.956,0.458028359,0.999064796,0.924734,4.324785,5.300774,32.710913,244.8297,2242.34657,1.5055,-40.78937,52.38654,1137.24131,709.05941,428.18191,0.00909697,0.02723177,-0.02093382,0.00050216,0.24747089,0.02339665,0.67648947,34.95,65.05,11.12125,19.62836,0.51764675,0.00416958,-42.16261,-13.13546,-0.9057266,0.037751,468,7.2,416.32,05CAJ-18b_WB97XD_DMSO
05CAJ-18c_WB97XD_DMSO,11.04,12.41,9.24,12.34,11.2575,1.286242104,25,269.17987,-0.291013,68,-0.037501,0.253513,23,6.76,4.32,10.124,13.388,0.481029031,0.990236686,0.365328,1.895251,6.934603,43.329625,279.0835,1814.17177,1.6627,-40.50452,37.0331,960.02053,582.29367,377.72686,0.00745826,0.02990925,-0.02715159,0.00051741,0.23813752,0.02764635,0.7843471,26.61,73.39,11.96522,19.64731,0.54021154,0.00362578,-42.14518,-13.00264,-0.9401872,0.043861,451,7.2,409.13,05CAJ-18c_WB97XD_DMSO
05CAJ-20_WB97XD_DMSO,10.88,12.33,9.9,10.49,10.9,0.896297942,23,241.16973,-0.290816,61,-0.031628,0.259188,23,6.456,4.185,9.6,12.76,0.480693163,0.988228005,0.371299,1.784672,7.822966,33.816834,266.8811,1649.09524,1.6388,-45.07112,60.5093,873.29975,528.85854,344.44121,0.00824322,0.03192592,-0.02811945,0.00077553,0.24967231,0.02932802,0.82789548,27.5,72.5,11.97623,19.69843,0.53571808,0.00453746,-41.41765,-13.80466,-0.9576159,0.046298,417,7.2,392.24,05CAJ-20_WB97XD_DMSO
05CAJ-21_WB97XD_DMSO,9.65,11.35,8.86,12,10.465,1.262903401,21,221.16338,-0.277045,56,-0.028995,0.248049,17,5.579,5.295,9.562,11.153,0.428796617,0.999551891,0.461895,2.867213,8.681927,40.222998,120.1978,1522.12395,1.6282,-45.68363,62.72162,797.28024,433.57197,363.70827,0.00733212,0.03931204,-0.03079073,0.00094277,0.22367533,0.03506789,0.96395601,23.68,76.32,11.66693,19.46086,0.53044038,0.00378543,-41.23951,-13.38524,-0.9213315,0.041444,469,7.2,426.86,05CAJ-21_WB97XD_DMSO
05CAJ-22a_WB97XD_DMSO,8.48,9.52,8.47,11.73,9.55,1.328965763,32,282.24655,-0.262288,73,-0.024563,0.237725,22,6.304,5.208,10.52,11.111,0.413987108,0.881265863,0.632155,2.615242,12.499078,51.243579,226.2305,2081.28798,1.5196,-46.20695,81.30338,1060.97787,590.06555,470.91232,0.00969533,0.04426724,-0.03362419,0.00137131,0.19335662,0.03943506,1.07602922,23.1,76.9,11.51474,19.30854,0.52132685,0.00353947,-41.35066,-13.83926,-0.9044597,0.047076,519,7.2,467.44,05CAJ-22a_WB97XD_DMSO
