SampleName,lambda_abs,lambda_em,molecule,solvent
01DDT-T_WB97XD_Chloroform,297,359,CCO:C(=O)c1cc(OC(=O):OC(C)(C)C)c(C(=O):OCC)cc1OC(=O):OC(C)(C)C,CCl3
01DT-C04_WB97XD_Chloroform,379,451,CCCCO:C(=O)c1cc(O)c(C(=O):OCCCC)cc1O,CCl3
01iBule1_WB97XD_dichloromethane,380,418,CO:C(=O)c1cc(C)cc(C(=O):OC)c1N,ClC(Cl)H
01iBule2_WB97XD_dichloromethane,365,394,CO:C(=O)c1cc(C=O)cc(C(=O):OC)c1N,ClC(Cl)H
01iBule3_WB97XD_dichloromethane,364,394,CO:C(=O)c1cc(C(=O):O)cc(C(=O):OC)c1N,ClC(Cl)H
01iBule4_WB97XD_dichloromethane,372,408,CO:C(=O)c1cc(C(=O)N2CCOCC2)cc(C(=O):OC)c1N,ClC(Cl)H
01iBule5_WB97XD_dichloromethane,379,418,Cc1cc(C(=O):O)c(N)c(C(=O):O)c1,ClC(Cl)H
01iBule6_WB97XD_dichloromethane,325,432,Cc1cc(C(=O)N2CCOCC2)c(N)c(C(=O)N2CCOCC2)c1,ClC(Cl)H
01iBule7_WB97XD_dichloromethane,412,451,CC(=O)c1cc(C)cc(C(C)=O)c1N,ClC(Cl)H
01JPCL2_WB97XD_Chloroform,473,592,CO:C(=O)c1cc(NCCO)c(C(=O):OC)cc1NCCO,CCl3
01m-DAPA_WB97XD_Chloroform,350,,CC(=O)c1cc(C(C)=O)c(N)cc1N,CCl3
01MBRF1_WB97XD_Acetonitrile,351,432,CCO:C(=O)c1cccc(N(CC)CC)c1,CC#N
01MBRF2_WB97XD_Acetonitrile,380,509,CCN(CC)c1cccc(C=O)c1,CC#N
01MBRF3_WB97XD_Acetonitrile,382,538,CCO:C(=O)/C=C/c1cccc(N(CC)CC)c1,CC#N
01MBRF4_WB97XD_Acetonitrile,400,600,CCN(CC)c1cccc(/C=C/C=O)c1,CC#N
01MBRF5_WB97XD_Acetonitrile,412,548,CCN(CC)c1ccc(OC)c(C=O)c1,CC#N
01MBRF6_WB97XD_Acetonitrile,424,684,CCO:C(=O)C(=Cc1cc(N(CC)CC)ccc1OC)C(=O):OCC,CC#N
01MBRF7_WB97XD_Acetonitrile,486,719,CCO:C(=O)/C(:C#N)=C/c1cc(N(CC)CC)ccc1OC,CC#N
01MBRF8_WB97XD_Acetonitrile,515,746,CCN(CC)c1ccc(OC)c(C=C(:C#N):C#N)c1,CC#N
01NC04_WB97XD_Chloroform,370,471,CC(=O)c1cc(N2C(=O)[C@H]3[C@H](C2=O)C3(C)C)c(C(C)=O)cc1N1C(=O)[C@H]2[C@H](C1=O)C2(C)C,CCl3
01NC05_WB97XD_Chloroform,405,502,CC(=O)c1cc(N:C(C)=O)c(C(C)=O)cc1N:C(C)=O,CCl3
01NC06_WB97XD_Chloroform,416,518,CC(=O)c1cc(N:C(=O):OC(C)(C)C)c(C(C)=O)cc1N:C(=O):OC(C)(C)C,CCl3
01NC07_WB97XD_Chloroform,435,543,CC(=O)c1cc(NC(=O):N(C)C)c(C(C)=O)cc1NC(=O):N(C)C,CCl3
01NC08_WB97XD_Chloroform,445,556,CC(=O)c1cc(N:C(C)=O)c(C(C)=O)cc1N,CCl3
01NC09_WB97XD_Chloroform,446,566,CC(=O)c1cc(N:C(=O):OC(C)(C)C)c(C(C)=O)cc1N,CCl3
01NC10_WB97XD_Chloroform,456,581,CC(=O)c1cc(N:C(=O):N(C)C)c(C(C)=O)cc1N,CCl3
01o-DAPA_WB97XD_Chloroform,432,531,CC(=O)C1=C=C=C(C(C)=O)C(N)=C1N,CCl3
01p-DAPA_WB97XD_Chloroform,482,618,CC(=O)c1cc(N)c(C(C)=O)cc1N,CCl3
01Ph-red_WB97XD_Chloroform,494,610,CO:C(=O)c1cc(NC2CCCCC2)c(C(=O):OC)cc1NC1CCCCC1,CCl3
01SBF1_WB97XD_Dichloromethane,363,432,N#Cc1c(N)c(F)c(C#N)c(F)c1F,ClC(Cl)H
01SBF2_WB97XD_Dichloromethane,399,463,N#Cc1c(F)c(F)c(C#N)c(N2CCC2)c1F,ClC(Cl)H
01SBF3_WB97XD_Dichloromethane,410,533,CN(C)c1c(F)c(C#N)c(N(C)C)c(F)c1C#N,ClC(Cl)H
01SBF4_WB97XD_Dichloromethane,431,491,N#Cc1c(F)c(N2CCC2)c(C#N)c(F)c1N1CCC1,ClC(Cl)H
01SBF5_WB97XD_Dichloromethane,428,543,N#Cc1c(F)c(N2CCCC2)c(C#N)c(F)c1N1CCCC1,ClC(Cl)H
01SBF6_WB97XD_Dichloromethane,413,539,N#Cc1c(F)c(N2CCCCC2)c(C#N)c(F)c1N1CCCCC1,ClC(Cl)H
01SBF7_WB97XD_Dichloromethane,429,582,CSc1c(C#N)c(N(C)C)c(SC)c(C#N)c1N(C)C,ClC(Cl)H
01SBF8_WB97XD_Dichloromethane,505,654,N#Cc1c(F)c(C(C#N)C#N)c(C#N)c(F)c1C(:C#N):C#N.[NaH],ClC(Cl)H
